date,examinLcDetail,ecoli_max,enterococcus_max
2015-06-16,A,2300.0,420.0
2015-06-16,B,2400.0,380.0
2015-06-16,C,780.0,120.0
2015-07-02,A,86.0,21.0
2015-07-02,B,98.0,5.0
2015-07-02,C,98.0,32.0
2015-07-16,A,20.0,5.0
2015-07-16,B,31.0,10.0
2015-07-16,C,20.0,15.0
2015-07-28,A,10.0,5.0
2015-07-28,B,31.0,5.0
2015-07-28,C,41.0,21.0
2015-08-04,A,190.0,79.0
2015-08-04,B,20.0,150.0
2015-08-04,C,41.0,64.0
2015-09-21,A,75.0,10.0
2015-09-21,B,97.0,120.0
2015-09-21,C,1.0,1.0
2016-05-12,A,1.0,1.0
2016-05-12,B,30.0,26.0
2016-05-12,C,305.0,224.0
2016-07-11,A,570.0,330.0
2016-07-11,B,3100.0,1000.0
2016-07-11,C,52.0,43.0
2016-07-19,A,41.0,48.0
2016-07-19,B,20.0,32.0
2016-07-19,C,73.0,26.0
2016-07-26,A,170.0,170.0
2016-07-26,B,470.0,240.0
2016-07-26,C,62.0,10.0
2016-08-09,A,200.0,32.0
2016-08-09,B,160.0,5.0
2016-08-09,C,210.0,21.0
2016-08-17,A,31.0,10.0
2016-08-17,B,320.0,480.0
2016-08-17,C,220.0,410.0
2016-08-22,A,110.0,49.0
2016-08-22,B,74.0,37.0
2016-08-22,C,10.0,21.0
2016-10-04,A,130.0,32.0
2016-10-04,B,150.0,
2016-10-04,C,220.0,
2017-05-15,A,30.0,16.0
2017-05-15,B,109.0,66.0
2017-05-15,C,41.0,21.0
2017-07-07,A,63.0,10.0
2017-07-07,B,275.0,26.0
2017-07-07,C,146.0,16.0
2017-07-13,A,195.0,85.0
2017-07-13,B,31.0,10.0
2017-07-13,C,20.0,5.0
2017-07-19,A,74.0,10.0
2017-07-19,B,52.0,1.0
2017-07-19,C,41.0,1.0
2017-07-27,A,20.0,1.0
2017-07-27,B,20.0,10.0
2017-07-27,C,10.0,5.0
2017-08-02,A,185.0,49.0
2017-08-02,B,97.0,37.0
2017-08-02,C,10.0,1.0
2017-08-11,A,52.0,16.0
2017-08-11,B,75.0,21.0
2017-08-11,C,10.0,1.0
2017-08-17,A,20.0,10.0
2017-08-17,B,30.0,5.0
2017-08-17,C,20.0,10.0
2017-08-23,A,228.0,21.0
2017-08-23,B,52.0,5.0
2017-08-23,C,41.0,5.0
2017-09-20,A,31.0,15.0
2017-09-20,B,31.0,5.0
2017-09-20,C,132.0,43.0
2018-06-04,A,1.0,5.0
2018-06-04,B,1.0,1.0
2018-06-04,C,74.0,48.0
2019-06-17,A,73.0,21.0
2019-06-17,B,480.0,106.0
2019-06-17,C,1.0,1.0
2019-07-04,A,97.0,32.0
2019-07-04,B,41.0,5.0
2019-07-04,C,414.0,38.0
2019-07-16,A,1.0,5.0
2019-07-16,B,884.0,219.0
2019-07-16,C,311.0,21.0
2019-07-30,A,1.0,1.0
2019-07-30,B,52.0,21.0
2019-07-30,C,131.0,32.0
2019-08-13,A,20.0,1.0
2019-08-13,B,1.0,1.0
2019-08-13,C,20.0,1.0
2019-08-20,A,20.0,1.0
2019-08-20,B,1.0,1.0
2019-08-20,C,20.0,1.0
2019-09-25,A,51.0,38.0
2019-09-25,B,1396.0,148.0
2019-09-25,C,41.0,21.0
2020-06-17,A,74.0,5.0
2020-06-17,B,41.0,74.0
2020-06-17,C,1.0,1.0
2020-07-09,A,327.0,37.0
2020-07-09,B,169.0,10.0
2020-07-09,C,259.0,32.0
2020-07-17,A,1.0,1.0
2020-07-17,B,192.0,116.0
2020-07-17,C,309.0,48.0
2020-07-21,A,1455.0,31.0
2020-07-21,B,148.0,1.0
2020-07-21,C,882.0,21.0
2020-08-04,A,906.0,128.0
2020-08-04,B,52.0,26.0
2020-08-04,C,63.0,26.0
2020-08-14,A,125.0,32.0
2020-08-14,B,1.0,81.0
2020-08-14,C,20.0,21.0
2020-08-19,A,414.0,32.0
2020-08-19,B,1169.0,220.0
2020-08-19,C,97.0,5.0
2020-09-15,A,62.0,1.0
2020-09-15,B,31.0,10.0
2020-09-15,C,41.0,5.0
2021-06-08,A,1.0,10.0
2021-06-08,B,20.0,5.0
2021-06-08,C,52.0,1.0
2021-07-15,A,10.0,1.0
2021-07-15,B,187.0,117.0
2021-07-15,C,20.0,1.0
2021-07-22,A,1.0,5.0
2021-07-22,B,1.0,1.0
2021-07-22,C,1.0,1.0
2021-07-29,A,41.0,5.0
2021-07-29,B,84.0,1.0
2021-07-29,C,41.0,5.0
2021-08-03,A,98.0,5.0
2021-08-03,B,10.0,1.0
2021-08-03,C,97.0,16.0
2021-08-31,A,202.0,10.0
2021-08-31,B,67.0,1.0
2021-08-31,C,237.0,148.0
2021-09-29,A,52.0,42.0
2021-09-29,B,20.0,10.0
2021-09-29,C,1.0,1.0
2022-06-13,B,1.0,5.0
2022-06-13,C,1.0,1.0
2022-07-07,A,1.0,10.0
2022-07-07,B,1.0,31.0
2022-07-07,C,1.0,41.0
2022-07-20,A,21.0,74.0
2022-07-20,B,16.0,85.0
2022-07-20,C,42.0,161.0
2022-07-26,A,21.0,107.0
2022-07-26,B,15.0,98.0
2022-07-26,C,15.0,63.0
2022-08-03,A,1.0,10.0
2022-08-03,B,21.0,20.0
2022-08-03,C,5.0,63.0
2022-08-09,A,20.0,5.0
2022-08-09,B,10.0,1.0
2022-08-09,C,1.0,5.0
2022-08-16,A,364.0,319.0
2022-08-16,B,213.0,273.0
2022-08-16,C,173.0,384.0
2022-08-30,A,1.0,10.0
2022-08-30,B,2254.0,2254.0
2022-08-30,C,350.0,350.0
2022-09-26,A,1.0,1.0
2022-09-26,B,1.0,1.0
2022-09-26,C,10.0,1.0
2023-06-07,A,1.0,10.0
2023-06-07,B,5.0,20.0
2023-06-07,C,1.0,1.0
2023-07-04,A,1.0,16.0
2023-07-04,B,41.0,10.0
2023-07-04,C,1.0,1.0
2023-09-12,A,1.0,1.0
2023-09-12,B,41.0,15.0
2023-09-12,C,185.0,36.0
2024-06-07,A,0.0,0.0
2024-06-07,B,0.0,0.0
2024-06-07,C,0.0,0.0
2024-07-04,A,52.0,10.0
2024-07-04,B,10.0,0.0
2024-07-04,C,41.0,5.0
2024-07-18,A,49.0,63.0
2024-07-18,B,43.0,52.0
2024-07-18,C,5.0,31.0
2024-07-31,A,0.0,0.0
2024-07-31,B,0.0,0.0
2024-07-31,C,0.0,0.0
2024-08-14,A,0.0,5.0
2024-08-14,B,0.0,0.0
2024-08-14,C,0.0,0.0
2024-08-27,A,0.0,5.0
2024-08-27,B,10.0,5.0
2024-08-27,C,10.0,15.0
2024-09-20,A,10.0,21.0
2024-09-20,B,10.0,5.0
2024-09-20,C,20.0,26.0
2025-06-13,A-1,10.0,5.0
2025-06-13,A-2,1.0,1.0
2025-06-13,B-1,1.0,1.0
2025-06-13,B-2,1.0,1.0
2025-06-13,C-1,10.0,1.0
2025-06-13,C-2,10.0,1.0
2025-07-03,A-1,10.0,5.0
2025-07-03,A-2,1.0,1.0
2025-07-03,B-1,10.0,1.0
2025-07-03,B-2,1.0,1.0
2025-07-03,C-1,1.0,5.0
2025-07-03,C-2,1.0,1.0
2025-07-17,A-1,52.0,10.0
2025-07-17,A-2,31.0,10.0
2025-07-17,B-1,10.0,10.0
2025-07-17,B-2,41.0,21.0
2025-07-17,C-1,10.0,1.0
2025-07-17,C-2,63.0,5.0
2025-07-31,A-1,30.0,21.0
2025-07-31,A-2,20.0,5.0
2025-07-31,B-1,1.0,10.0
2025-07-31,B-2,10.0,43.0
2025-07-31,C-1,31.0,1.0
2025-07-31,C-2,10.0,85.0
2025-08-13,A-1,571.0,105.0
2025-08-13,A-2,422.0,88.0
2025-08-13,B-1,433.0,72.0
2025-08-13,B-2,259.0,61.0
2025-08-13,C-1,622.0,149.0
2025-08-13,C-2,473.0,82.0
2025-08-26,A-1,30.0,42.0
2025-08-26,A-2,10.0,182.0
2025-08-26,B-1,20.0,60.0
2025-08-26,B-2,10.0,49.0
2025-08-26,C-1,30.0,21.0
2025-08-26,C-2,31.0,43.0
2025-09-25,A-1,1.0,21.0
2025-09-25,A-2,1.0,47.0
2025-09-25,B-1,10.0,26.0
2025-09-25,B-2,20.0,10.0
2025-09-25,C-1,1.0,10.0
2025-09-25,C-2,1.0,1.0
2026-06-15,A-1,1.0,1.0
2026-06-15,A-2,10.0,5.0
2026-06-15,B-1,1.0,1.0
2026-06-15,B-2,1.0,1.0
2026-06-15,C-1,1.0,5.0
2026-06-15,C-2,1.0,5.0
2026-07-09,A-1,10.0,1.0
2026-07-09,A-2,1.0,1.0
2026-07-09,B-1,1.0,1.0
2026-07-09,B-2,1.0,5.0
2026-07-09,C-1,1.0,5.0
2026-07-09,C-2,1.0,1.0
2026-07-29,A-1,10.0,1.0
2026-07-29,A-2,1.0,1.0
2026-07-29,B-1,1.0,1.0
2026-07-29,B-2,1.0,5.0
2026-07-29,C-1,1.0,5.0
2026-07-29,C-2,10.0,1.0
2026-08-14,A-1,1.0,1.0
2026-08-14,A-2,1.0,1.0
2026-08-14,B-1,1.0,1.0
2026-08-14,B-2,1.0,1.0
2026-08-14,C-1,1.0,1.0
2026-08-14,C-2,1.0,1.0
2026-09-03,A-1,20.0,5.0
2026-09-03,A-2,1.0,5.0
2026-09-03,B-1,1.0,10.0
2026-09-03,B-2,10.0,16.0
2026-09-03,C-1,31.0,43.0
2026-09-03,C-2,1.0,21.0
